student_number,full_name,email,course,section
2023-00145,Maria Santos Cruz,bobbycuen@gmail.com,BS Computer Science,CS-3A
2023-00212,Juan Carlos Reyes,bobbycuen@gmail.com,BS Information Technology,IT-2B
2022-00987,Angela Marie Torres,bobbycuen@gmail.com,BS Computer Science,CS-4A
2023-00456,Michael Anthony Dela Cruz,bobbycuen@gmail.com,BS Information Systems,IS-2A
2021-00678,Kristine Joy Mendoza,bobbycuen@gmail.com,BS Computer Science,CS-4B
2023-00321,Paolo Emmanuel Garcia,bobbycuen@gmail.com,BS Information Technology,IT-2A
2022-00543,Samantha Rose Villanueva,bobbycuen@gmail.com,BS Computer Science,CS-3B
2023-00789,John Rey Bautista,bobbycuen@gmail.com,BS Information Systems,IS-2B
2021-00234,Nicole Anne Fernandez,bobbycuen@gmail.com,BS Computer Science,CS-4A
2023-00567,Christian Miguel Ramos,bobbycuen@gmail.com,BS Information Technology,IT-3A
2022-00890,Bea Alexandra Aquino,bobbycuen@gmail.com,BS Computer Science,CS-3A
2023-00112,Gabriel Luis Domingo,bobbycuen@gmail.com,BS Information Systems,IS-1A
2021-00345,Patricia Anne Navarro,bobbycuen@gmail.com,BS Computer Science,CS-4B
2023-00678,Marc Anthony Salazar,bobbycuen@gmail.com,BS Information Technology,IT-2B
2022-00456,Erika Mae Castillo,bobbycuen@gmail.com,BS Computer Science,CS-3B
2023-00901,Vincent James Pascual,bobbycuen@gmail.com,BS Information Systems,IS-2A
2021-00123,Alyssa Faith Ocampo,bobbycuen@gmail.com,BS Computer Science,CS-4A
2023-00234,Renz Miguel Espiritu,bobbycuen@gmail.com,BS Information Technology,IT-1A
2022-00678,Danielle Grace Mercado,bobbycuen@gmail.com,BS Computer Science,CS-3A
2023-00890,Josh Adrian Villareal,bobbycuen@gmail.com,BS Information Systems,IS-2B
